Estacao1: embarcados=851, desembarcados=697
Estacao2: embarcados=963, desembarcados=372
Estacao3: embarcados=1493, desembarcados=502
Estacao4: embarcados=815, desembarcados=154
Estacao5: embarcados=513, desembarcados=79
Estacao6: embarcados=1461, desembarcados=518
Estacao7: embarcados=387, desembarcados=241
Estacao8: embarcados=932, desembarcados=748
Estacao9: embarcados=213, desembarcados=123
Estacao10: embarcados=537, desembarcados=524
Estacao11: embarcados=600, desembarcados=85
Estacao12: embarcados=960, desembarcados=283
Estacao13: embarcados=265, desembarcados=787
Estacao14: embarcados=364, desembarcados=121
Estacao15: embarcados=66, desembarcados=924
Estacao16: embarcados=504, desembarcados=524
Estacao17: embarcados=385, desembarcados=511
Estacao18: embarcados=1077, desembarcados=914
